name	lat	lon	amenity	shop
Migros	39.893119	32.7978901		supermarket
(isimsiz)	39.8904227	32.7997327		convenience
Şok	39.8921987	32.7887184		supermarket
Sunshine	39.8898332	32.7906931	cafe	
Çatı	39.8894217	32.7914685	restaurant	
Naz Gıda	39.8885523	32.7974582		convenience
Bizim Kantin	39.8945711	32.7823488	fast_food	
Ulupinar	36.4512113	30.4363994	restaurant	
Korudağ Dinlenme Tesisleri Orman İçi	40.7076295	26.7834964	restaurant	
Tarihi Çiçek Lokantası	39.8985081	32.8172104	restaurant	
BİM	39.9026918	32.8530197		supermarket
Kamara Coffee & Community	39.9053521	32.853039	cafe	
Hasanağa Restaurant	36.8858021	30.7068205	restaurant	
Burda	41.0097386	29.1388417		convenience
Temur Hipermarket	41.0048654	29.1358277		convenience
Cankaya	41.0097264	29.1398725	cafe	
Titiz	41.0099207	29.1394605	cafe	
Migros	41.0241676	29.1254262		supermarket
Üstün Market	41.0059616	29.1383921		convenience
BİM	41.001333	29.1395419		supermarket
Mopas	41.0132424	29.1348077		convenience
BİM	41.0080093	29.1381379		supermarket
(isimsiz)	41.0858449	29.0447576	cafe	
Sofra	36.854101	31.0449258	restaurant	
(isimsiz)	36.8541156	31.0454713	restaurant	
Restaurant for Green Canyon Tour	36.9052873	31.5612443	restaurant	
Poolbar	36.8529585	31.0475409	bar	
Basaran Mini Market	41.005123	28.9787961		convenience
Hayat Cafe	41.0047902	28.9791698	fast_food	
(isimsiz)	40.180931	26.360901	restaurant	
Dönerci Celal Usta	40.9976571	29.1456398	restaurant	
Köz Kanat	40.8936126	29.1708429	restaurant	
Little Caesars	39.8867188	32.8479937	fast_food	
Fevzi Usta	39.8994592	32.8691847	restaurant	
Devrez	39.9052562	32.8683922	restaurant	
Tantunici	39.87554	32.861151	restaurant	
Göksu Lokantası	39.9045932	32.8676821	restaurant	
Pinar Supermarket	39.8918916	32.8717308		supermarket
Sim Market	39.8926092	32.869269		convenience
Kır Kahvesi	41.050052	29.0129935	cafe	
Spor cafe	37.0549944	35.3585544	restaurant	
Migros	37.0554337	35.3592703		supermarket
Balcalı restaurant	37.0555204	35.3593066	restaurant	
Son Durak	37.0626199	35.3569692	pub	
Vivaldi	37.0584277	35.3612747	restaurant	
Turaç Cafe	37.0577176	35.3515432	cafe	
Dardağan kebap	37.0559115	35.3596659	fast_food	
Turkuaz	37.0616286	35.3518999	restaurant	
Target Cafe	37.0586536	35.360242	cafe	
Pizza Üni	37.0593956	35.3594571	fast_food	
Starbucks cafe	37.0577324	35.3624686	cafe	
(isimsiz)	37.0594379	35.3643824	cafe	
Dürümcü Ismail Usta	41.0275368	28.9802602	fast_food	
Börekci	41.0299782	28.9795176	fast_food	
Börekci	41.0293702	28.9796765	fast_food	
Beylerbeyi Profiterol	41.0311867	28.9818326		bakery
CarrefourSA	41.0318538	28.982882		supermarket
Hanımeli	41.0317779	28.9821871	cafe	
Orka Süpermarket	41.031731	28.9819731		supermarket
(isimsiz)	41.0296732	28.9796331		bakery
Börekci	41.0315897	28.982131	fast_food	
Şok	41.0314703	28.9825851		supermarket
Urban Cafe	41.0336104	28.9785641	bar	
Badehane	41.0287835	28.9742171	bar	
Börekçi	41.0341142	28.9767629	fast_food	
Palmiye Beach	36.5481253	31.9807173	restaurant	
Taverne	36.5347717	31.9949795	restaurant	
Icecaffee	36.5409688	31.9981011	fast_food	
(isimsiz)	36.6849256	28.0525598	restaurant	
(isimsiz)	36.6855451	28.051238	bar	
Migros	36.5450541	31.9888604		supermarket
Aydede	38.6467671	34.8329055	restaurant	
Çağlar Büfe	39.9736402	32.7052822		convenience
Uptown	39.8941238	32.786478	bar	
Apollon cafe	37.926051	29.125394	cafe	
Migros	38.6262005	34.9154183		supermarket
BİM	38.5021659	27.0900707		supermarket
Butikek	39.9568922	32.7032936	cafe	
GİMA	39.9465338	32.7294584		supermarket
(isimsiz)	41.0119362	29.0144195		supermarket
Gözlemeci	39.855062	32.73046	fast_food	
Karadeniz Kafe	37.0606632	35.3520593	restaurant	
Tarmak kantin	37.0584568	35.357175	restaurant	
(isimsiz)	41.0448379	29.0452112	cafe	
Şahin Tepesi	36.7598531	28.651094	fast_food	
Şevikoğlu	36.8393127	28.7634421		supermarket
(isimsiz)	38.6232852	35.1802464	cafe	
Asya Market	36.6643319	30.5603756		supermarket
Tulip	36.5472803	29.1231417	pub	
Shanti Garden	36.4612503	29.126779	restaurant	
Çalhan dinlenme tesisleri	36.9272285	29.7361547	restaurant	
Aspendos Restaurant & Lokanta	36.2751134	29.3184046	restaurant	
(isimsiz)	36.2527404	29.3127418	pub	
(isimsiz)	38.7355861	34.9291538	cafe	
(isimsiz)	38.7355404	34.9287108		convenience
Çibörek Evi	39.8038133	30.4197907	restaurant	
File Market	39.5907246	26.9304721		supermarket
Gözlemeci Mustafa	38.62922	34.804212	fast_food	
Şok	38.6301217	34.9112286		supermarket
Blue Restaurant	37.3554201	27.3234873	restaurant	
Num Num	39.8476869	32.8317163	restaurant	
Green Garden Restaurant	37.3528346	27.3219684	restaurant	
Dado Cafe	37.3531751	27.3206294	restaurant	
Burger King	37.3648712	27.2706815	fast_food	
Yayla 2 Market and Cafe	37.3545964	27.3184255		convenience
(isimsiz)	39.0737503	33.4126485	restaurant	
(isimsiz)	39.0749809	33.4113037	restaurant	
Alara Kahvesi	36.7576476	32.0282422	cafe	
Ulas Market	37.3512623	27.3264712		convenience
Al Dente	37.3528063	27.3289388	restaurant	
Demiryol-is Cafe Market Internet	37.3532762	27.3287181		convenience
Maydanoz Döner	39.8918156	32.7889712	fast_food	
Çağdaş Market	39.9726807	32.7097747		supermarket
Kebap Evi	39.940432	32.789284	fast_food	
Tivmas	39.940362	32.789176		supermarket
Samir Cafe	39.776933	32.789124	restaurant	
diasa	37.051556	27.3491808		supermarket
Balıkçı	39.892221	32.7885595	fast_food	
Sapadere Kanyonu Restaurant	36.5263522	32.3132898	restaurant	
(isimsiz)	38.6437801	34.8399279	restaurant	
(isimsiz)	36.5398667	32.1091065	restaurant	
Yunus Market	39.966823	32.7040002		supermarket
(isimsiz)	40.5509514	29.4644179	cafe	
Konak yemek evi	36.6482991	29.3621326	restaurant	
Nokt@net Cafe	37.3764626	27.2658561	cafe	
Şok	37.3766531	27.2655		supermarket
Dia Market	37.3778953	27.2687097		supermarket
Market	37.3584947	27.3202415		convenience
Pehlivanoglu	37.3597307	27.2738522		supermarket
DiaSA	37.1322914	27.5791427		supermarket
BİM	37.3095191	27.7888636		supermarket
(isimsiz)	37.9435993	27.3553652	restaurant	
Efes	37.9441255	27.3414147	cafe	
Beach Restaurant	37.0529718	27.2365961	restaurant	
Bati Restaurant	37.0555454	27.2352583	restaurant	
Cook Shop	39.901251	32.6915232	restaurant	
Pehlivanoğlu	38.5593602	27.0444657		supermarket
BİM	37.3406674	28.1430491		supermarket
ikizler köftecisi	37.3399851	28.1387511	restaurant	
Burcu Pide Salonu	37.3403497	28.1415782	restaurant	
McDonald's	37.8375499	27.8461106	fast_food	
Migros	37.9097143	28.3281381		supermarket
(isimsiz)	37.0082289	27.2568968	restaurant	
(isimsiz)	37.0081149	27.2566053	restaurant	
Yörük Ramazan	36.1638253	29.800747	restaurant	
Aurora	36.7072045	28.0923926	restaurant	
Serce Caria	36.5761295	28.0433246	restaurant	
Würstelstand	36.5807939	30.5862602	fast_food	
Kremser Heuriger	36.5794443	30.5856358	restaurant	
Cafe Kaiserin Sissi	36.5790986	30.5845679	cafe	
Poolrestaurant	36.5801115	30.5859102	restaurant	
Tunne's cafe	37.0585318	35.3610147	cafe	
